filename,width,height,class,xmin,ymin,xmax,ymax
Sag1719043.JPG,4000,3000,Yaya Geçidi Yaklaşım,331,1132,612,1336
Sag1719049.JPG,4000,3000,Yaya Geçidi,339,1394,401,1452
Sag1719050.JPG,4000,3000,Yaya Geçidi,798,1414,857,1464
Sag1719051.JPG,4000,3000,Yaya Geçidi,1479,1448,1526,1503
Sag1719052.JPG,4000,3000,Yaya Geçidi,2210,1506,2258,1557
Sag1719053.JPG,4000,3000,Yaya Geçidi,2938,1549,2998,1612
Sag1719065.JPG,4000,3000,Yaya Geçidi,229,1223,350,1351
Sag1719066.JPG,4000,3000,Yaya Geçidi,1026,1275,1112,1375
Sag1719067.JPG,4000,3000,Yaya Geçidi,1953,1237,2039,1375
Sag1719083.JPG,4000,3000,Yaya Geçidi,69,1396,137,1454
Sag1719084.JPG,4000,3000,Yaya Geçidi,306,1380,390,1455
Sag1719085.JPG,4000,3000,Yaya Geçidi,704,1334,796,1421
Sag1719086.JPG,4000,3000,Yaya Geçidi,1461,1319,1554,1446
Sag1719088.JPG,4000,3000,Ana Yol Tali Yol Sağ,1,1277,139,1406
Sag1719089.JPG,4000,3000,Ana Yol Tali Yol Sağ,417,1182,629,1360
Sag1719090.JPG,4000,3000,Ana Yol Tali Yol Sağ,1936,941,2123,1279
Sag1719098.JPG,4000,3000,Ana Yol Tali Yol,236,1013,522,1317
Sag1719109.JPG,4000,3000,Ana Yol Tali Yol Sağ,157,1033,464,1303
Sag1719112.JPG,4000,3000,Ana Yol Tali Yol,547,1008,759,1169
Sag1719112.JPG,4000,3000,Yaya Geçidi Yaklaşım,548,1166,754,1292
Sag1719113.JPG,4000,3000,Ana Yol Tali Yol,3036,524,3270,879
Sag1719113.JPG,4000,3000,Yaya Geçidi Yaklaşım,3025,868,3270,1124
Sag1719118.JPG,4000,3000,Yaya Geçidi,842,1083,1027,1299
Sag1719119.JPG,4000,3000,Yaya Geçidi,1639,1326,1731,1446
Sag1719120.JPG,4000,3000,Yaya Geçidi,791,1416,874,1491
Sag1719121.JPG,4000,3000,Yaya Geçidi,1571,1385,1648,1492
Sag1719127.JPG,4000,3000,Ana Yol Tali Yol Sağ,1,1296,151,1429
Sag1719128.JPG,4000,3000,Ana Yol Tali Yol Sağ,555,1288,744,1434
Sag1719129.JPG,4000,3000,Ana Yol Tali Yol Sağ,2022,1140,2155,1397
Sag1719132.JPG,4000,3000,Yol Ver,60,1278,119,1358
Sag1719133.JPG,4000,3000,Yol Ver,656,1289,724,1423
Sag1719146.JPG,4000,3000,Ana Yol Tali Yol,146,1200,337,1345
Sag1719147.JPG,4000,3000,Ana Yol Tali Yol,630,1146,861,1347
Sag1719148.JPG,4000,3000,Ana Yol Tali Yol,1684,1095,1903,1377
Sag1719154.JPG,4000,3000,Yol Ver,742,1308,790,1406
Sag1719164.JPG,4000,3000,Sağa Keskin Viraj,188,1508,230,1552
Sag1719165.JPG,4000,3000,Sağa Keskin Viraj,192,1456,248,1504
Sag1719166.JPG,4000,3000,Sağa Keskin Viraj,286,1442,358,1491
Sag1719167.JPG,4000,3000,Yaya Geçidi,55,1130,242,1288
Sag1719167.JPG,4000,3000,İleri Ve Sağa Mecburi Yön,42,1370,224,1511
Sag1719168.JPG,4000,3000,Yaya Geçidi,1333,844,1636,1199
Sag1719168.JPG,4000,3000,İleri Ve Sağa Mecburi Yön,1339,1389,1612,1668
Sag1719168.JPG,4000,3000,Sağa Keskin Viraj,960,1492,1053,1582
Sag1719169.JPG,4000,3000,Sağa Keskin Viraj,1773,1438,1890,1558
Sag1719170.JPG,4000,3000,Sağa Keskin Viraj,3464,1541,3636,1737
Sag1719171.JPG,4000,3000,Yaya Geçidi,221,1325,284,1403
Sag1719171.JPG,4000,3000,İleri Ve Sola Mecburi Yön,205,1444,285,1530
Sag1719172.JPG,4000,3000,Yaya Geçidi,850,1240,934,1350
Sag1719172.JPG,4000,3000,İleri Ve Sola Mecburi Yön,829,1403,918,1513
Sag1719173.JPG,4000,3000,Yaya Geçidi,2147,1177,2298,1342
Sag1719173.JPG,4000,3000,İleri Ve Sola Mecburi Yön,2125,1414,2286,1573
Sag1719190.JPG,4000,3000,Ana Yol Tali Yol,788,1182,994,1359
Sag1719197.JPG,4000,3000,Yaya Geçidi Yaklaşım,276,1215,478,1366
Sag1719198.JPG,4000,3000,Yaya Geçidi Yaklaşım,1370,1037,1601,1323
Sag1719209.JPG,4000,3000,İleri Ve Sola Mecburi Yön,1539,1381,1712,1597
Sag1719239.JPG,4000,3000,Kasi Var,57,990,336,1161
Sag1719239.JPG,4000,3000,Okul Bölgesi,56,1160,312,1324
Sag1719247.JPG,4000,3000,Okul Geçidi,153,1059,306,1214
Sag1719248.JPG,4000,3000,Okul Geçidi,829,1054,1008,1313
Sag1719271.JPG,4000,3000,Yol Ver,7,1192,178,1317
Sag1719272.JPG,4000,3000,Yol Ver,626,1096,819,1299
Sag1719272.JPG,4000,3000,Okul Geçidi,899,1238,958,1333
Sag1719273.JPG,4000,3000,Yol Ver,1816,1010,1996,1329
